,HEBREW,ARABIC,PORTUGUESE,ITALIAN,FRENCH,SPANISH,GERMAN,ENGLISH,RUSSIAN,FINNISH,VIETNAMESE,KOREAN,CHINESE,JAPANESE
0,,,,,,,,"(('______________________', 'BIIIIIIIIIIIIIIIIIIIIE'), 'SSSSSSSSSSSSSSSSBBIISS')",,"(('Satumetsä', 'BIIIIIIIE'), 'BIIIIIIEE')",,,,
1,,,,,,,,"(('GT', 'BE'), 'SE')",,"(('Pääkirjoitus', 'BIIIIIIIIIIE'), 'BEIIIIIIIIIE')",,,,
2,,,,,,,,"(('_________________________________________________________________', 'BIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIE'), 'SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSBBBISS')",,,,,,
3,,,,,,,,"(('4105SF', 'BIIIIE'), 'BIIESE')",,,,,,
4,,,,,,,,"(('_____', 'BIIIE'), 'BIIIS')",,,,,,
5,,,,,,,,"(('Outlook.jpg', 'BIIIIIIIIIE'), 'BIIIIIESBIE')",,,,,,
6,,,,,,,,"(('http://www.budgieresearch.com', 'BIIIIIIIIIIIIIIIIIIIIIIIIIIIE'), 'BIIIIIIIIISIIIIIIIIIIIIIISIIE')",,,,,,
7,,,,,,,,"(('http://www.4gamer.net/news/image/2005.09/20050920111900_21big.html', 'BIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIE'), 'BIIIIIIIIIISIIIIESIIESBIIESBIIIESBIIESBESBIIIIIIIIEEBIESBIIBESIIIE')",,,,,,
8,,,,,,,,"(('http://www.4gamer.net/news/image/2005.09/20050919032951_21big.html', 'BIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIE'), 'BIIIIIIIIIISIIIIESIIESBIIESBIIIESBIIESBESBIIIIIIIIIIIIESBIIBESIIIE')",,,,,,
9,,,,,,,,"(('http://www.4gamer.net/news/image/2005.09/20050919032951_32big.html', 'BIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIE'), 'BIIIIIIIIIISIIIIESIIESBIIESBIIIESBIIESBESBIIIIIIIIIIIIESBEIBESIIIE')",,,,,,
