,F1-score,Precision-score,Recall-score
HEBREW,0.9968399664501041,0.9961251089876771,0.9977164315599726
ARABIC,0.9893185617678789,0.9978345010159766,0.9826472815669102
PORTUGUESE,0.9776609510105658,0.9904646001757347,0.9689528823322361
ITALIAN,0.9946114073829908,0.9977336076048037,0.9919401226695749
FRENCH,0.9925270558996799,0.9953143553689046,0.9902129191983584
SPANISH,0.9986920747252779,0.9987631205311926,0.9986793326884233
GERMAN,0.9803553728416272,0.9882935576138596,0.9743619435783988
ENGLISH,0.8954493794467416,0.9297308874589753,0.8736622961662597
RUSSIAN,0.9955792270714744,0.9965202034297895,0.9949301497134945
FINNISH,0.9758593643052464,0.9903082269855025,0.9677878957486451
VIETNAMESE,0.747165437371172,0.7162704426630995,0.7852668667008871
KOREAN,0.9994723914880616,0.999471326420214,0.9994850161749116
CHINESE,0.7864461384013505,0.791430409740821,0.7842152382439237
JAPANESE,0.880237235679347,0.8872441036826539,0.8755304756637435
