,F1-score,Precision-score,Recall-score
HEBREW,0.9980604197766615,0.9975971928957486,0.998630111010094
ARABIC,0.9889753577264094,0.9964652138117277,0.9829283922509692
PORTUGUESE,0.9764492041465258,0.9904892448238036,0.9668647010523399
ITALIAN,0.9926861299924168,0.9966925289041507,0.9892922341160673
FRENCH,0.9927530527958444,0.9955411098288294,0.9904032955964241
SPANISH,0.998293163158151,0.9986771172287181,0.9980067461817893
GERMAN,0.9799970377559389,0.9881949892255243,0.9735223237864111
ENGLISH,0.8906121310214378,0.9257132690547358,0.8685170851685566
RUSSIAN,0.994668622983944,0.9959856953739853,0.9937557682045092
FINNISH,0.9745644710307734,0.9907363199308248,0.9651209780915271
VIETNAMESE,0.7355419287300339,0.7152445610158074,0.762109872123173
KOREAN,0.9982071682622258,0.9990836041191419,0.9975120256811786
CHINESE,0.7450624106625601,0.7556898316127265,0.7377072966634557
JAPANESE,0.849430791804961,0.8591415431392061,0.842790600197756
