,F1-score,Precision-score,Recall-score
HEBREW,0.9997800773201843,1.0,0.999582602888388
ARABIC,0.9896694038173396,0.9985759047185522,0.9829759591451996
PORTUGUESE,0.9783223318877902,0.9903707076598922,0.9702097074306965
ITALIAN,0.99666729815167,0.9975333914749736,0.9959952417290503
FRENCH,0.9938612298960353,0.9959851430458778,0.992124529285394
SPANISH,0.9987937386958361,0.9986755312379952,0.9989466156571006
GERMAN,0.9887462999337682,0.993041946964284,0.985434002669964
ENGLISH,0.9102251074846406,0.9363138345566347,0.8942261863388951
RUSSIAN,0.9964060341098346,0.99702115467623,0.9960249828724865
FINNISH,0.9774095268447968,0.9908271113426003,0.9699045558785768
VIETNAMESE,0.7685694146658021,0.7415630903120852,0.801816753159187
KOREAN,0.9993576019669671,0.9993744048212083,0.9993639523709144
CHINESE,0.7990748281313887,0.800387027315435,0.7997342218334357
JAPANESE,0.9054366024858639,0.9071625695635777,0.9055285205091748
