,F1-score,Precision-score,Recall-score
HEBREW,0.9811721761733092,0.9995042835951926,0.9671892688962986
ARABIC,0.9796116170127206,0.9939400392109489,0.9683707720304304
PORTUGUESE,0.9707795538150918,0.990978863398506,0.9561530857238137
ITALIAN,0.9865504655801914,0.9964356857309742,0.9783699041952457
FRENCH,0.9890150919050513,0.9949544231427692,0.9838729598102434
SPANISH,0.9911235651948118,0.9969828051981394,0.9860777541218476
GERMAN,0.9776810701153061,0.9848275476855609,0.9725067995729899
ENGLISH,0.8896046855200153,0.932036576488304,0.8623381970317235
RUSSIAN,0.9946865615850292,0.9957714833344244,0.9938973549880872
FINNISH,0.9616685820356717,0.9893674773092006,0.9437599274199017
VIETNAMESE,0.6629516018382172,0.6799764404084323,0.6555819504733239
KOREAN,0.9969671042791844,0.9990791594139998,0.9954486690300612
CHINESE,0.7645891030660289,0.7738573091425824,0.7580163456598982
JAPANESE,0.9101599249666404,0.9110581401741756,0.910741188465281
