,F1-score,Precision-score,Recall-score
HEBREW,0.9807983192479829,0.9995042835951926,0.9665245118214175
ARABIC,0.9785356574900144,0.9944304738396998,0.9661186022189214
PORTUGUESE,0.9662840448003607,0.9889826885827416,0.9495608324717721
ITALIAN,0.9849685460169901,0.9958416995527809,0.9758519340196928
FRENCH,0.9887223625611024,0.9945983748263136,0.9836337520604792
SPANISH,0.9890750680861418,0.997221067946115,0.9820389615302806
GERMAN,0.9765304496644531,0.9858067790614163,0.9694344187881092
ENGLISH,0.8816348231350426,0.9289306457559547,0.8505962175326223
RUSSIAN,0.9952340283077666,0.9962406594037575,0.9945400449814281
FINNISH,0.9645416883122649,0.9899010479238185,0.9485446173712963
VIETNAMESE,0.6619057290585224,0.6792595610943291,0.654796631719963
KOREAN,0.9974887074864897,0.9990791594139998,0.9962447534122134
CHINESE,0.7514511048483152,0.7588285034768374,0.7466370589715976
JAPANESE,0.9100260403221415,0.9114630181759246,0.910287171264761
