,F1-score,Precision-score,Recall-score
HEBREW,0.9830460787798129,0.9998231286110073,0.9698517802567512
ARABIC,0.981503438385639,0.9951205873082446,0.9706136130758136
PORTUGUESE,0.9673747246133408,0.9889815013855192,0.9517237626503627
ITALIAN,0.9887215293065698,0.9970443425955525,0.9819385127934219
FRENCH,0.9901027812910171,0.9956117361922496,0.9852509117932602
SPANISH,0.9928995243717614,0.9985643095200879,0.9880189017544004
GERMAN,0.9778399882333596,0.9856495106472934,0.9720042385869256
ENGLISH,0.8832674824282059,0.9321271234986379,0.8514880320092216
RUSSIAN,0.9933490132901699,0.9961352138187872,0.9913306055279166
FINNISH,0.968260475055816,0.9912029732207827,0.9538201173318366
VIETNAMESE,0.6758827091546954,0.6922921747792485,0.6690025129980062
KOREAN,0.9967940746156244,0.9988137685655772,0.9953687056499547
CHINESE,0.7758334848765588,0.7813384706840477,0.7727096942625973
JAPANESE,0.9230177369165775,0.9261765280927283,0.9217348498648856
