,F1-score,Precision-score,Recall-score
HEBREW,0.9859612212468829,0.9980569669564886,0.9778417570954355
ARABIC,0.9874006721860558,0.9975192932687043,0.9793371755051616
PORTUGUESE,0.9765357331862093,0.9906285429240498,0.9671791882418824
ITALIAN,0.9951320036999908,0.9986717058060142,0.9922611986283972
FRENCH,0.9934079486092866,0.9962282744208858,0.991002113261813
SPANISH,0.9987022479836909,0.9988108149852294,0.9986459850352236
GERMAN,0.9826646848591398,0.9902899495967544,0.9767149787987888
ENGLISH,0.8942177547363417,0.9288002374467415,0.8724903610092651
FINNISH,0.9770414522387583,0.9921467768663966,0.9684635009386486
RUSSIAN,0.9955229265447019,0.996167882491326,0.9951969558391953
KOREAN,0.9986969816118673,0.9993488316585026,0.9981946737188617
CHINESE,0.8503916107614755,0.8519789769269841,0.8504273420169062
JAPANESE,0.9242172230086508,0.9277981496271718,0.9224536541304587
VIETNAMESE,0.6682350512073786,0.6831659884606478,0.6633619363296158
