,F1-score,Precision-score,Recall-score
"('RUSSIAN', 1000)",0.9200429103242632,0.9678991511637487,0.8801559506840606
"('KOREAN', 1000)",0.9788261657243001,0.9892972005794327,0.9706281319263063
"('RUSSIAN', 5000)",0.9560040699572303,0.9876652573206506,0.9320200107427747
"('KOREAN', 5000)",0.99015438495277,0.9966273578865189,0.9854950349250817
"('RUSSIAN', 9000)",0.9788917981803699,0.9918316358650222,0.9697565679856721
"('KOREAN', 9000)",0.9908134513891246,0.9971160387653316,0.9862851960222442
"('RUSSIAN', 13000)",0.9812150388542988,0.9916670844779579,0.9737525543921082
"('KOREAN', 13000)",0.9926725476960406,0.9972946544496812,0.9891311363999947
"('RUSSIAN', 17000)",0.987677767568802,0.9932510661257536,0.9834119953063074
"('KOREAN', 17000)",0.9923105675367057,0.9971127135633382,0.9889838449147205
"('RUSSIAN', 21000)",0.9881396282562803,0.9931387012192473,0.9846263468482348
"('KOREAN', 21000)",0.9942198119255574,0.9968645299862128,0.9922668571549355
