,F1-score,Precision-score,Recall-score
"('ITALIAN', 1000)",0.9281233829851223,0.9753381037851494,0.8885902637240937
"('FRENCH', 1000)",0.9254215350423457,0.9771223016735363,0.8813495971879947
"('SPANISH', 1000)",0.9306702156245065,0.9796198396993191,0.8890836635626241
"('GERMAN', 1000)",0.9031784894886706,0.9599891235540479,0.857553312314853
"('ITALIAN', 3000)",0.9556862923887485,0.9881625451082608,0.9277925229422732
"('FRENCH', 3000)",0.9654189812152741,0.9889009499568883,0.944227345594982
"('SPANISH', 3000)",0.9664198157084662,0.9927469756303496,0.9426462501678663
"('GERMAN', 3000)",0.9199532627040016,0.9696998018252827,0.8779144825260916
"('ITALIAN', 5000)",0.9745542611573156,0.9933066559396339,0.9585672162822082
"('FRENCH', 5000)",0.9746704358926744,0.9914786346258875,0.9597517453957443
"('SPANISH', 5000)",0.9723779421498716,0.9957589028836205,0.9516317668999822
"('GERMAN', 5000)",0.9435547211254178,0.9707326680502415,0.9213766370151081
"('ITALIAN', 7000)",0.9786077370758461,0.9934316012914466,0.9660828831454887
"('FRENCH', 7000)",0.9836561837374675,0.992970319423995,0.9755627587153157
"('SPANISH', 7000)",0.9846309249513424,0.9960998669293818,0.9749132703973566
"('GERMAN', 7000)",0.9606423589331082,0.9725543375396001,0.9515555073569929
"('ITALIAN', 9000)",0.9783381564618219,0.9947058458336232,0.9647759956891904
"('FRENCH', 9000)",0.9862006919375427,0.992436887338227,0.9809594928097896
"('SPANISH', 9000)",0.9866530478382324,0.9972969685437995,0.977484564732595
"('GERMAN', 9000)",0.9591438350976449,0.9758973891197907,0.9460609250373309
"('ITALIAN', 11000)",0.9806437501026282,0.9939640376451965,0.9694657466040707
"('FRENCH', 11000)",0.9823320748020524,0.9927829755592263,0.9734842611733776
"('SPANISH', 11000)",0.9881748365892603,0.9971569628976181,0.9805168230375368
"('GERMAN', 11000)",0.9704742733094317,0.983288720054456,0.9608989972724941
