,F1-score,Precision-score,Recall-score
"('RUSSIAN', 1000)",0.9199640243268696,0.9678535227606081,0.8800397302409961
"('KOREAN', 1000)",0.9824519372980423,0.9906226825475904,0.9763356388471043
"('RUSSIAN', 5000)",0.967973256189958,0.989613984736915,0.9509126666533598
"('KOREAN', 5000)",0.9901276519504231,0.9967540672462364,0.9853172507322928
"('RUSSIAN', 9000)",0.9759120203819764,0.9901929740828413,0.965955086036711
"('KOREAN', 9000)",0.9937216948599054,0.9973426296605279,0.9912594074984346
"('RUSSIAN', 13000)",0.9828501213710239,0.9925732686316002,0.9757036754835271
"('KOREAN', 13000)",0.9921140840670547,0.997219786686395,0.9880591514636266
"('RUSSIAN', 17000)",0.9879136333160581,0.9935973441696324,0.9836946241468554
"('KOREAN', 17000)",0.9908177181056186,0.9970683080395587,0.986380346446754
"('RUSSIAN', 21000)",0.9892857829110846,0.9939199237212699,0.9858990555390791
"('KOREAN', 21000)",0.9909004648538701,0.9969362911126524,0.986531052100271
