,F1-score,Precision-score,Recall-score
"('RUSSIAN', 3000)",0.9520304776079005,0.9931957336103979,0.9176689138482022
"('KOREAN', 3000)",0.994417121258604,0.9987677757971875,0.9911629019129019
"('RUSSIAN', 6000)",0.9752987033942471,0.9952755373255017,0.9580412595724507
"('KOREAN', 6000)",0.9953293452448251,0.9992156862745097,0.9923279637029636
"('RUSSIAN', 9000)",0.9856855379191751,0.9935613709735156,0.9792787468702456
"('KOREAN', 9000)",0.9959464296557221,0.9992592592592592,0.9934410373577041
"('RUSSIAN', 12000)",0.9832469745745381,0.9936885706720019,0.9742641672474558
"('KOREAN', 12000)",0.997579489443536,0.9994081439393939,0.9961281681281681
"('RUSSIAN', 15000)",0.9895763251416366,0.9954454403926509,0.9850090126127676
"('KOREAN', 15000)",0.9987660583883495,1.0,0.9976973544973545
