,F1-score,Precision-score,Recall-score
"('ITALIAN', 1000)",0.9278553365713561,0.974837255146003,0.8885114615176317
"('FRENCH', 1000)",0.936255956193458,0.9751994802278987,0.9022444126152613
"('SPANISH', 1000)",0.9387089296270534,0.977675780452112,0.9046521926045931
"('GERMAN', 1000)",0.9034742701106616,0.9609873751735167,0.8572990852834094
"('ITALIAN', 3000)",0.954153152802854,0.9893748955699904,0.9249628960943947
"('FRENCH', 3000)",0.960935478417094,0.9888580812797633,0.9355969332067715
"('SPANISH', 3000)",0.9658884153328128,0.9938154018643746,0.9407652379518698
"('GERMAN', 3000)",0.9208256970838186,0.9706503744948978,0.8784386909784795
"('ITALIAN', 5000)",0.9784344389954173,0.9936771785116298,0.9656311869410549
"('FRENCH', 5000)",0.9765956709782092,0.9914648403147772,0.9634524982427327
"('SPANISH', 5000)",0.9719772692488401,0.9951718366015772,0.951518159993766
"('GERMAN', 5000)",0.9516206366315548,0.9739963867559677,0.9333907834247706
"('ITALIAN', 7000)",0.9781607188283347,0.9946044114395104,0.9643240783500867
"('FRENCH', 7000)",0.9815356449935595,0.9923287875038644,0.9723235225433673
"('SPANISH', 7000)",0.9815656867576489,0.9956419494630128,0.9694483178315584
"('GERMAN', 7000)",0.961505089166249,0.9729287097526285,0.9526532792669564
"('ITALIAN', 9000)",0.9773192999709847,0.9939550971743637,0.963383843453277
"('FRENCH', 9000)",0.9841419817183809,0.9924958802944737,0.9769903181013507
"('SPANISH', 9000)",0.9879351352017383,0.9971337323348191,0.9801679010703784
"('GERMAN', 9000)",0.961803195851933,0.9764115416225385,0.9504868157794545
"('ITALIAN', 11000)",0.9846583279501822,0.9947617910395553,0.9761677516332046
"('FRENCH', 11000)",0.984918802204939,0.9930189276460466,0.9779823727890461
"('SPANISH', 11000)",0.9869037220180494,0.997048066646239,0.9783296049144873
"('GERMAN', 11000)",0.9696976953962849,0.9799967368305716,0.9618511641759242
