,F1-score,Precision-score,Recall-score
"('ITALIAN', 1000)",0.9421081609174725,0.9853138062117854,0.9057676381567985
"('FRENCH', 1000)",0.9503210842054318,0.9766013001594303,0.9265044731385275
"('SPANISH', 1000)",0.9453803443251979,0.9736957412421283,0.9196012570225152
"('GERMAN', 1000)",0.9046024261072434,0.9597385708758718,0.8600922789243636
"('ENGLISH', 1000)",0.8058658447777486,0.9282629325559572,0.725247383279237
"('FINNISH', 1000)",0.8867803976562773,0.9604235676604097,0.8323653069642402
"('ITALIAN', 2000)",0.9377060395242199,0.9931604716177772,0.8940996699442344
"('FRENCH', 2000)",0.9570839694657678,0.9804581840897693,0.9360348676937019
"('SPANISH', 2000)",0.9655079574369918,0.9972003543432115,0.937576842006596
"('GERMAN', 2000)",0.9030163592851346,0.9592580527675634,0.8578283730422186
"('ENGLISH', 2000)",0.8155177128997951,0.9217679283092862,0.7438898986809065
"('FINNISH', 2000)",0.9026857094179175,0.9758070175438597,0.8478122220290665
"('ITALIAN', 3000)",0.9435203552587783,0.9956964578214578,0.9008985544949799
"('FRENCH', 3000)",0.9641083046673693,0.986028219933491,0.9444049175916569
"('SPANISH', 3000)",0.9453694611984635,0.9783106373381197,0.915587146111668
"('GERMAN', 3000)",0.9215197623212471,0.9665904037555563,0.8817640932643661
"('ENGLISH', 3000)",0.8460671386895439,0.9339185719888242,0.7928127481187743
"('FINNISH', 3000)",0.931999008780363,0.9904980793486986,0.889753934473567
"('ITALIAN', 4000)",0.9605566963126496,0.9947212839919197,0.9303323624985788
"('FRENCH', 4000)",0.9666184376351086,0.9851378552597952,0.9509389621600917
"('SPANISH', 4000)",0.9687754677428836,0.9975868725868726,0.9452239362863404
"('GERMAN', 4000)",0.9489338425751754,0.9766832302457302,0.9248150975068282
"('ENGLISH', 4000)",0.887665134000124,0.9423955588278181,0.8638890256924833
"('FINNISH', 4000)",0.9162414417848649,0.9836934885290148,0.8656654030344703
"('ITALIAN', 5000)",0.9585041462094936,0.9933164911997929,0.9275623821457206
"('FRENCH', 5000)",0.9770104260415193,0.9869639868903027,0.9683767871902822
"('SPANISH', 5000)",0.9507846625260732,0.9729142857142857,0.9306808452827495
"('GERMAN', 5000)",0.9652337927925951,0.9781871923177612,0.9548218224805182
"('ENGLISH', 5000)",0.8856481847632609,0.9435662724180581,0.8510866193193216
"('FINNISH', 5000)",0.9462210761165347,0.98415,0.917952249704275
"('ITALIAN', 6000)",0.9345670131061755,0.987805287893763,0.8918871635681948
"('FRENCH', 6000)",0.9663233131432546,0.9845036755627463,0.9505469667261173
"('SPANISH', 6000)",0.9870224139894597,1.0,0.9755746343004049
"('GERMAN', 6000)",0.9374076099912791,0.9755413658021417,0.9078241511136114
"('ENGLISH', 6000)",0.8639492033873368,0.9454038904616182,0.8236909847425397
"('FINNISH', 6000)",0.964068012608826,0.9925307570396581,0.9462523651712725
"('ITALIAN', 7000)",0.9535095219830805,0.9901391632820203,0.9213737172507153
"('FRENCH', 7000)",0.9726905239846678,0.9843753834392932,0.9627225113066816
"('SPANISH', 7000)",0.9826651796853746,1.0,0.9676288480702842
"('GERMAN', 7000)",0.9276056921193669,0.9706961918571371,0.8899975763895012
"('ENGLISH', 7000)",0.8854068867103636,0.9519527845406742,0.8553469785577112
"('FINNISH', 7000)",0.9575474339508504,0.9946904761904761,0.932506678267793
