,Recall,Precision,F1 score
HEBREW,1.0,1.0,1.0
ARABIC,0.9861685359355328,0.9968842137969093,0.9908119555353604
PORTUGUESE,0.970464414058164,0.9908571238669164,0.9786937304680432
ITALIAN,0.9957793564192287,0.9976302562946023,0.996618810982524
FRENCH,0.9959331167942275,0.996067601397324,0.9959137942547709
SPANISH,0.9992041220430967,0.9988928308968797,0.99903155959818
GERMAN,0.9865708600340412,0.9921423157536796,0.9889898190794223
ENGLISH,0.8959368443887314,0.929374497253332,0.9078473434500948
RUSSIAN,0.995710981663703,0.9970939404901026,0.9962913484209052
FINNISH,0.9702250272547656,0.9914843402620298,0.9778006616821491
VIETNAMESE,0.8155204514862372,0.7697910089382147,0.7901671056823413
KOREAN,0.999696875548194,0.9996055755312774,0.9996461797811211
CHINESE,0.8220438928841163,0.8272917251213597,0.823675101752876
JAPANESE,0.9127990896746989,0.9167673010196563,0.9138916818265984
