,Recall,Precision,F1 score
HEBREW,1.0003168890198137,0.99950835837716,0.9999003183929599
ARABIC,0.9977592238691835,0.999113532504156,0.998404982861851
PORTUGUESE,0.9979749658919481,0.9975684110634214,0.997747821353333
ITALIAN,0.9560908177082514,0.9747786940855702,0.9649133754605634
FRENCH,0.9373790469456763,0.9654501895850547,0.9507859914793639
SPANISH,0.9948093125789642,0.9960988276299725,0.9953908491286294
GERMAN,0.980972701099934,0.9879068975163732,0.9841831670559111
ENGLISH,0.9654527754624023,0.9717005026654396,0.9676933507820551
RUSSIAN,0.9670568482118492,0.9535485043711877,0.9598471356915347
FINNISH,0.9980259637527991,0.9981561327996812,0.9980115203980966
VIETNAMESE,0.6303852899737731,0.657549202854855,0.6406605694750301
KOREAN,0.989811720629806,0.989406791324439,0.9895631003158836
CHINESE,0.2841345248862085,0.31876679616213166,0.2987077307194535
JAPANESE,0.24597871536645935,0.2762043741650089,0.2584568421826663
