,Recall,Precision,F1 score
HEBREW,0.9992621015348289,0.9992855820335159,0.9992648299881207
ARABIC,0.9976616577912126,0.9986828067365449,0.9981562691694801
PORTUGUESE,0.9869602864079048,0.9767460868472557,0.9814788195118636
ITALIAN,0.966272066088969,0.9699400121093267,0.9677966699267457
FRENCH,0.9540074058431982,0.954028069502159,0.9535460780143226
SPANISH,0.9891393315300151,0.9839885093759665,0.9864124128559696
GERMAN,0.9891118817733447,0.9828618354713319,0.9857613132607832
ENGLISH,0.9549193671351459,0.9369425669151427,0.9439147192505886
RUSSIAN,0.9965146922378244,0.9962261824780355,0.9962989501165936
FINNISH,0.9853622038261229,0.9721339796316959,0.978211983309758
VIETNAMESE,0.8009854097076348,0.683939270542445,0.7356735350755257
KOREAN,0.9982194530632795,0.9969250859620821,0.9975249234083557
CHINESE,0.8709219358799958,0.8698601779731141,0.8695228612467678
JAPANESE,0.9480290783780025,0.9495435730338874,0.9483684861547468
