,Recall,Precision,F1 score
HEBREW,0.996181871007511,0.9913279438110871,0.9936529409667938
ARABIC,0.9943746109738167,0.9911398562228264,0.992662304706084
PORTUGUESE,0.9870093378278166,0.9702356564620371,0.9779320202780255
ITALIAN,0.9660368368108825,0.9514995486280201,0.9583530222646568
FRENCH,0.9395661098968312,0.9164788002372821,0.9272233934316497
SPANISH,0.9919885218746504,0.9807337504391274,0.9860572998129594
GERMAN,0.9805532924593532,0.9651172311483369,0.9723716711240381
ENGLISH,0.9484475169910183,0.9165849578204062,0.9287533482018808
RUSSIAN,0.9158805451064345,0.8395178175128143,0.8739507389829748
FINNISH,0.9660618396151257,0.9298541442279774,0.9460401132622485
VIETNAMESE,0.805741171437744,0.6807420185837566,0.7357295508995909
KOREAN,0.9507751652542551,0.9094532407609298,0.928392706438372
CHINESE,0.8453169211522125,0.8382433294381051,0.8407464958090491
JAPANESE,0.947802270941708,0.9473189830568242,0.947102442299619
