,Recall,Precision,F1 score
HEBREW,1.0004696260677122,1.0,1.000226228262814
ARABIC,0.9979160033893579,0.9991023988492919,0.9984804821323114
PORTUGUESE,0.998297864171717,0.9985582125345507,0.998408262837044
ITALIAN,0.9981181394820846,0.9981328496842867,0.9980981539917079
FRENCH,0.9979117917946666,0.9982759138493408,0.9980598666064965
SPANISH,0.997073429780548,0.9977094466188444,0.9973329632336132
GERMAN,0.9894538338176232,0.99160648450379,0.990404146484681
ENGLISH,0.9818082975151058,0.9800320331322832,0.9804307756541305
RUSSIAN,0.8490708612107314,0.75529755403365,0.7976191331671137
FINNISH,0.9975841792870377,0.9967514615319126,0.9970753167016956
VIETNAMESE,0.5969137807294764,0.6264713750549247,0.6079290746541559
KOREAN,0.990359171366091,0.9896776894732978,0.9899594818672248
CHINESE,0.2475559857254233,0.2987687208749069,0.2685375106728504
JAPANESE,0.23176242854081763,0.2810424394653797,0.2517300229051991
